pop_2012,predicted_crime,camera,imd_value,area,ward,density
0.04070964247020585,0.023685338615634682,0.04415584415584416,0.02796357872384697,0.0336639320993392,Barnet Vale,0.0272620113071452
0.04642470205850487,0.0522025324020038,0.05714285714285714,0.029974136023707815,0.030223779797094553,Brunswick Park,0.03254826793031668
0.06056338028169014,0.035664329129786974,0.07792207792207792,0.06649649657380684,0.026272215450895763,Burnt Oak,0.08306767454811397
0.047806067172264356,0.10585915183602095,0.04155844155844156,0.042252823662017394,0.027379621216775406,Childs Hill,0.0506475318891879
0.03397887323943662,0.024772846330829462,0.025974025974025976,0.040719066697983905,0.008939974183601549,Colindale North,0.14948290716760138
0.004252437703141929,0.002478713185286467,0.046753246753246755,0.002904415957069343,0.013331084009247577,Colindale South,0.007150284693040077
0.02932015167930661,0.059272081953877134,0.01038961038961039,0.04283479720198389,0.019881444642391322,Cricklewood,0.07070966208417213
0.04689869989165764,0.024646072974075426,0.05974025974025974,0.03408974749799081,0.03573176042460135,East Barnet,0.031311174311349665
0.04206392199349946,0.03153554571545916,0.0,0.03508673495580227,0.024036014231826604,East Finchley,0.04790827002519679
0.05047399783315276,0.06798585920689146,0.06233766233766234,0.061871601463066035,0.039960227311866915,Edgware,0.05081517110002786
0.044284940411700974,0.02190557703317037,0.06233766233766234,0.02563500309613558,0.07406609831252545,Edgwarebury,0.011359099189757976
0.044596424702058504,0.06974710924521807,0.04155844155844156,0.024184158053291698,0.027491906901763098,Finchley Church End,0.02887061882845998
0.05372426868905742,0.041880368837296206,0.05974025974025974,0.04187006588885442,0.027913471340938596,Friern Barnet,0.0492288601553031
0.03216413867822319,0.03438499769881238,0.0,0.01201155224291512,0.03597538423473156,Garden Suburb,0.010957807793917314
0.061362405200433366,0.03681722489992654,0.01038961038961039,0.02784023304383065,0.01958978559835243,Golders Green,0.046641570823506014
0.059154929577464786,0.07244927762696189,0.03116883116883117,0.1439762104118292,0.06947367389179643,Hendon,0.06801433521793881
0.0320557963163597,0.0317131818225227,0.04415584415584416,0.019816176320264448,0.0840493225881737,High Barnet,0.007737766594246699
0.0424160346695558,0.042471376059684256,0.04155844155844156,0.045110672649651476,0.10782378082756618,Mill Hill,0.013730764916222323
0.03553629469122427,0.050182290272233615,0.05194805194805195,0.019054295269113924,0.08178969127279945,Totteridge & Woodside,0.0076458241794938485
0.03223185265438787,0.011411493809262506,0.02077922077922078,0.031867253698212424,0.018081774775769183,Underhill,0.05784070361382821
0.0524783315276273,0.052581240060297726,0.03116883116883117,0.03307549618809603,0.0258979841447773,West Finchley,0.041915088972936033
0.046492416034669554,0.04375100404639775,0.05714285714285714,0.045726492425939215,0.0337260947711758,West Hendon,0.044497111281995315
0.029794149512459372,0.030508861242715988,0.06233766233766234,0.0176236671056834,0.026496187523352834,Whetstone,0.021829454188872804
0.03121614301191766,0.03209352599563428,0.05974025974025974,0.12801532484890724,0.10820479044863786,Woodhouse,0.03882803918737
